id,evaluation_axes_id,main_goal_id,sub_goal_id,skills_analysis,required
1,1,1,1,يصنع اتصالا بصريا كطلب لانتباه الآخرين أو معززات أخرى مرتين (O),0
2,1,1,1,يتحرك بالقرب من المادة المعززة ليشير إلى وجود اجراء تعزيزي مرتين(O),0
3,1,1,1,يدفع شخصا كبيرا حتى يصل للمادة المعززة مرتين (O),0
4,1,1,1,يشير أو يومئ باتجاه المعزز بقصد الحصول عليه مرتين (O),0
5,1,1,2,يشير إلى معززين مختلفين للحصول عليهم مرتين(E),0
6,1,1,2,يقول أو يومئ بنعم أو لا عندما تعرض عليه معززات مرتين (E),0
7,1,1,2,يصدر طلبين مختلفين بدون دافع المصادأة –يمكن استخدام الدافع اللفظي او المادي (E),1
8,1,1,2,يصدر طلب واحد بشكل عفوي بدون دافع مصاداة أو تقليد –يمكن استخدام الدافع المادي (O),1
9,1,1,2,يعمم طلبين معروفين خلال شخصين أو مكانين مختلفين (E),1
10,1,1,3,يصدر طلبين بشكل عفوي (بدون دافع لفظي ) –يسمح بوجود المادة(O),1
11,1,1,3,يصدر 5 طلبات بدون دافع مصاداة أو تقليد –يمكن استخدام الدافع اللفظي او المادي (O),1
12,1,1,3,يعمم 3 طلبات خلال مثالين من المادة المرغوبة (E),1
13,1,1,3,يصدر 6 طلبات مختلفة بدون دافع مصاداة أو تقليد –يمكن استخدام الدافع اللفظي أو المادي ( E),1
14,1,1,4,يطلب الانتباه مرتين مع نوع معرف من الاستجابة (O),0
15,1,1,4,"يصدر طلبين بدون وجود المادة-باستخدام ""ماذا تريد؟""(O)",1
16,1,1,4,يصدر طلبين بدون دافع لفظي-يمكن استخدام الدافع المادي (O),1
17,1,1,4,يطلب من الآخرين الانتباه لنفس المثير الذي ينتبه هو إليه 5 مرات خلال اليوم (O),0
18,1,1,4,يصدر طلب واحد لإزالة نشاط أو مادة غير مرغوبة(E),0
19,1,1,5,يصدر 3 طلبات مختلفة بدون وجود المادة المطلوبة –يسمح باستخدام الدافع اللفظي(E),1
20,1,1,5,يصدر 3 طلبات مختلفة بدون وجود المادة المطلوبة –يسمح باستخدام الدافع المادي (E),1
21,1,1,5,الطلب يحتوي تنغيم بلائم الإجراء التعزيزي الحالي مرتين (O),0
22,1,1,5,يكتسب طلب جديد خلال اقل من عشرين محاولة تدريبية (T),0
23,1,1,5,يتابع إصدار الطلب مرتين إذا لم يتم توفير المادة المطلوبة (E),0
24,1,2,6,يصدر بشكل عفوي خمس طلبات بدون وجود الشيء المطلوب وبدون دافع لفظي (O),1
25,1,2,6,يصدر 15 طلب مختلف بدون دافع مصاداة أو تقليد-يسمح بوجود المادة (E),1
26,1,2,6,يطلب 5 مواد مفقودة بدون دافع (باستثناء الدافع اللفظي) (E),1
27,1,2,6,يعمم 4 طلبات لأربع أشخاص مختلفين (E),0
28,1,2,6,يحتفظ بالطلب المكتسب حديثًا للمادة المفقودة لما بعد 24 ساعة من فقدان الاتصال بتلك المادة (E),0
29,1,2,7,يطلب 5 مرات بجمل أو مقاطع تتكون من كلمتين (TO:60min),1
30,1,2,7,يطلب من الآخرين إصدار حركتين بوجود الدافع اللفظي (E),1
31,1,2,7,يصدر طلبين لإزالة مواد أو أنشطة غير مرغوبة (O),1
32,1,2,7,يظهر تعميم استجابة لطلبين مختلفات (O),0
33,1,2,7,يحتوي الطلب تنغيم ملائم للإجراء التعزيزي الإيجابي والسلبي 5 مرات (O),0
34,1,2,7,يطلب المساعدة مرتين (O),0
35,1,2,7,يظهر استخدام متكرر للطلب (O),0
36,1,2,8,يطلب 5 مرات بجمل أو مقاطع تتكون من كلمتين (TO:60min),1
37,1,2,8,يطلب معلومات مرتين باستخدام سؤال يبدأ بماذا (E),1
38,1,2,8,يطلب باستخدام الضمائر مرتين (O),1
39,1,2,8,الطلب يحدث باستخدام ثلث مقاطع مختلفة للطلب (أنا أريد... هل أستطيع...) (O),0
40,1,2,8,يطلب باستخدام نعم ولا 4 مرات (E),0
41,1,2,8,يطلب معلومات مرتين باستخدام أسئلة تبدأ باين (E),1
42,1,2,9,يصدر بشكل عفوي 50 طلب خلال النهار (يسمح بوجود المواد بدون دافع لفظي) (O),1
43,1,2,9,يكتسب طلبين من تدريب التسمية أو المصادأة فقط (O),1
44,1,2,9,يطلب معلومات 25 مرة باستخدام أي صيغة سؤال (O),1
45,1,2,9,يطلب باستخدام الصفات 5 مرات (O),1
46,1,2,9,يصدر 5 طلبات في 30 ثانية (TO:30sec),1
47,1,2,9,يحتوي الطلب مقاطع من ثلاث كلمات 10 مرات (O),0
48,1,2,10,يصدر خمس طلبات جديدة بدون تدريب (O),1
49,1,2,10,يظهر تعميم استجابة ل10 طلبات مختلفة (O),0
50,1,2,10,يطلب باستخدام الصفات خمس مرات- يمكن استخدام الدافع اللفظي وغير اللفظي (O),1
51,1,2,10,يطلب معلومات 3 مرات باستخدام أسئلة استفهامية (O),1
52,1,2,10,يطلب بشكل عفوي من الآخرين إصدار 20 حركة مختلفة (O),1
53,1,2,10,يطلب بشكل عفوي من أشخاص جدد 5 مرات في اليوم (O),0
54,1,3,11,يطلب من أقرانه مرتين باستخدام أسئلة استفهامية (O),1
55,1,3,11,يطلب بشكل عفوي الانتباه 5 مرات (O),0
56,1,3,11,يصدر 100 أو أكثر طلب مختلف في أسبوع (TO:1week),1
57,1,3,11,الطلب يحتوي مقاطع من ثلاث كلمات لعشر مرات (O),1
58,1,3,11,يطلب كمية محددة من المعززات مرتين (O),0
59,1,3,12,يطلب إزالة مادة أو نشاط غير مرغوب مرتين (E),1
60,1,3,12,يطلب من الآخرين تطبيق حركات من خطوتين وذلك لمرتين (O),1
61,1,3,12,يقول تفضل وشكرًا عند وجود الدافع اللفظي غير المباشر من الكبار (E),1
62,1,3,12,يظهر تعميم إجراء تعزيزي بالسؤال عن معززين مختلفين بنفس الكلمات (O),0
63,1,3,12,يطلب من الآخرين المشاركة في نشاط لمرتين (O),1
64,1,3,13,يطلب بشكل عفوي استخدام المرحاض مرتين (O),0
65,1,3,13,يطلب من الآخرين الانتباه إلى سلوكياته غير اللفظية مرتين (O),0
66,1,3,13,يطلب من الآخرين الانتباه إلى جهة معينة من البيئة حوله مرتين (O),0
67,1,3,13,يطلب باستخدام صفتين مختلفتين (O),1
68,1,3,13,يطلب باستخدام حرفين جر مختلفين (O),1
69,1,3,13,يطلب باستخدام حالين مختلفين (O),1
70,1,3,14,يطلب تعاطف أو الدعم العاطفي من الآخرين مرتين (O),0
71,1,3,14,يطلب من الآخرين إيصال مادة محددة لشخص آخر مرتين (E),0
72,1,3,14,يطلب تعليمات لإنهاء المهمة مرتين (O),0
73,1,3,14,يطلب بشكل عفوي باستخدام 3 أجزاء رئيسية من الكلام في جملة واحدة مرتين (O),1
74,1,3,15,الطلب يحتوي مقاطع من 5 كلمات 10 مرات (TO:60min),1
75,1,3,15,يطلب معلومات حول أحداث مستقبلية مرتين (O),0
76,1,3,15,يطلب الانتباه لحدث خاص مرتين (O),0
77,1,3,15,يطلب معلومات 5 مرات باستخدام أسئلة لماذا (O),0
78,1,3,15,يطلب معلومات 5 مرات باستخدام أسئلة كيف (O),0
79,1,3,15,يطلب من الآخرين الانتباه لسلوك المحادثة الصادر منه 5 مرات (O),1
80,2,4,16,"يسمي شخص واحد معتاد عليه , حيوان أليف, أو مادة باستخدام الدافع اللفظي والشخص المعزز(E)",1
82,2,4,18,يعمم استجابات معروفة خلال شخصين أو مكانين مختلفين (E),0
83,2,4,18,يعمم التسمية خلال مثالين لمادة وذلك لمادتين مختلفتين (T),0
84,2,4,19,ينظر إلى صور العائلة وباستخدام الدافع اللفظي ليسمي فردين من العائلة( T),0
85,2,4,19,يسمي صورتين من كتاب أو بطاقات صور (T),0
86,2,4,20,يسمي 5 صور (T),1
87,2,4,20,يحتفظ بالتسمية المكتسبة حديثا لمدة 24 ساعة بدون تدريب(T),0
88,2,4,20,يعمم التسمية خلال ثلاثة أمثلة لمادة وذلك لخمس مواد(T),0
89,2,5,21,"يسمي 4 أشخاص مختلفين, حيوانات أليفة أو شخصيات بأسمائها المحددة (T)",0
90,2,5,21,يسمي حركتين عندما يطلب منه ذلك (T),1
91,2,5,21,يكتسب تسمية جديدة في أقل من 20 محاولة تدريبية (T),0
92,2,5,21,يسمي 5 مواد خلال مدة 15 ثانية (T),0
93,2,5,22,يسمي 3 أجزاء من الجسم (T),0
94,2,5,22,يسمي مثيرين سمعيين (T),0
95,2,5,22,يصدر بشكل عفوي تسمية تحتوي كلمتين وذلك خمس مرات (E),1
96,2,5,22,يسمي حركتين مختلفتين عندما يُسأل ماذا يفعل؟ (T),1
97,2,5,22,يسمي 40 مادة عندما يُسأل ما هذا؟ (T),1
98,2,5,23,يسمي مثيرين باللمس (T),0
99,2,5,23,يسمي خمس تراكيب اسم فعل أو فعل اسم (T),1
100,2,5,23,يسمي مادتين أو أكثر من 10 صفحات مختلفة في كتاب عندما يُسأل ماذا ترى هنا؟ (T),0
101,2,5,23,يلقي نظرة سريعة على المستمع عندما يسمي في خمس مناسبات (O),0
102,2,5,24,يسمي 25 تركيب- اسم (T),0
103,2,5,24,يكتسب تسمية جديدة في أقل من 15 محاولة تدريبية (T),0
104,2,5,24,يسمي بشكل عفوي مواد في كتاب أو تلفاز أو فيديو 5 مرات (O),0
105,2,5,24,يتعلم تسميتين جديدتين بدون تدريب مباشر (T),0
106,2,5,24,يظهر تعميم استجابة ل5 مواد (E),0
107,2,5,25,يسمي 20 حركة (E),1
108,2,5,25,يسمي مثيرين بالتذوق (E),0
109,2,5,25,يسمي 20 مادة في دقيقة واحدة من اختبار الطلاقة (T),0
110,2,5,25,يسمي لونين مختلفين (E),1
111,2,5,25,يسمي شكلين مختلفين (E),1
112,2,6,26,يسمي مثيرين بالشم (E),0
113,2,6,26,يكتسب 5 تسميات جديدة في أسبوع بدون تدريب مباشر(E),0
114,2,6,26,يسمي شخصين باسمهم الأول (ليسوا من العائلة) (E),0
115,2,6,26,يسمي 5 فئات (T),0
116,2,6,26,يسمي 5 أماكن (T),0
117,2,6,26,يسمي 25 مادة و/أو نشاط بنعم أو لا (T),0
118,2,6,26,يسمي وظيفة 25 مادة (T),0
119,2,6,26,يسمي خاصيتين محددتين ل25 مادة أو شخص (E),0
120,2,6,26,التعميم يحدث على أمثلة جديدة من المادة أو الأحداث من المحاولة الأولى وذلك لخمس مواد (E),0
121,2,6,27,يسمي فئة 25 مادة (T),0
122,2,6,27,يسمي الاختلاف أو الشيء المفقود في 10 صور (T),0
123,2,6,27,يسمي فئة ووظيفة 10 مواد (T),1
124,2,6,27,يسمي علاقتين طرفيتين (T),1
125,2,6,27,يسمي أشخاص باستخدام ضميرين مختلفين (T),1
126,2,6,27,"يسمي بشكل عفوي وظيفة, خصائص وفئة مادة وذلك لخمس مواد (O)",0
127,2,6,27,يعمم خصائص وظيفة وفئة التسمية ل10 مواد لكل مجموعة (T),0
128,2,6,28,يسمي الأشخاص حسب جنسهم مستخدمًا أربع مصطلحات مختلفة (T),0
129,2,6,28,يسمي بشكل عفوي سلوك الآخرين مرتين (O),0
130,2,6,28,يسمي زوج من الصفات المرتبطة (T),1
131,2,6,28,يسمي بشكل عفوي باستخدام صفتين مختلفتين (O),1
132,2,6,28,يسمي بشكل عفوي باستخدام حالين مختلفين (O),1
133,2,6,28,يسمي بشكل عفوي ملكية الأشياء مرتين (O),1
134,2,6,29,يسمي الأشخاص حسب علاقتهم باستخدام 4 مصطلحات مختلفة (E),0
135,2,6,29,يسمي 5 تراكيب (صفة-اسم) في جملة كاملة (E),1
136,2,6,29,يسمي 5 تراكيب (فعل-حال) في جملة كاملة (E),1
137,2,6,29,يسمي 5 تراكيب (حرف جر-اسم) في جملة كاملة (E),1
138,2,6,29,يسمي 5 تراكيب (فاعل-فعل-اسم) في جملة كاملة (T),1
139,2,6,30,يسمي 3 حالات عاطفية عن نفسه أو عن الآخرين (E),0
140,2,6,30,يسمي 5 إيماءات متكررة لها وظيفة لفظية (T),0
141,2,6,30,يسمي 5 شخصيات تقدم المساعدة في المجتمع (T),0
142,2,6,30,يسمي استخدام كلمتين للرفض 5 مرات (T),0
143,2,6,30,"يسمي 5 أحداث جماعية, اجتماعية, مجتمعية (T)",0
144,2,6,30,يسمي بشكل عفوي ظرفين اجتماعيين مختلفين (O),0
145,2,6,30,يصدر بشكل عفوي تسمية دون تدريب في جمل تشمل على الأقل 5 كلمات 5 مرات (O),0
146,3,7,31,يدير رأسه ليحدد مصدر الصوت (O),0
147,3,7,32,يبتسم عند سماعه صوت الشخص الذي يعتني به لمرتين (O),0
148,3,7,33,يقاطع نشاط لعب عندما يدعوه احد الأشخاص باسمه الخاص (E),0
149,3,7,33,"يستجيب ل لا ,سخن,توقف,أو أي أمر أخر خلال سياق كلام مناسب(O)",0
150,3,7,33,ينتبه لمادة أو صورة عندما تسمى (بدون تمييز)خمس مرات (O),1
151,3,7,33,يستجيب لتعليمات لفظية بسيطة عدد 2(تتكون من جزء واحد) خلال السياق (E),1
152,3,7,33,يميز بين شخصين اثنين من العائلة و/أو حيوانات أليفة عندما يتم تسميتهم(E),1
153,3,7,33,يميز بين مادتين عندما يتم عرضهم أمام نظر الطفل(T),1
154,3,7,33,"ينظر إلى , يلمس أو يشير إلى فرد العائلة الصحيح, الحيوان الأليف أو معززات أخرى عندما تعرض في مجموعة تتكون من مادتين وذلك خمس مرات (E)",1
155,3,7,34,يختار المادة الصحيحة من مجموعة تتكون من مادتين وذلك لعشر مواد او صور مختلفة(T),1
156,3,7,34,يحافظ على الاتصال البصري مع المتكلم لمدة 2 ثانية (O),0
157,3,7,34,يلمس جزأين من جسمه(T),0
158,3,7,34,يطبق حركتين جسديتين(T),1
159,3,7,34,يختار المادة الصحيحة من مجموعة تتكون من ثلاثة عندما يتم تسميتها وذلك لعشر مواد مختلفة (T),0
160,3,7,34,يعمم بتمييز المستمع مهمة خلال مثالين لخمس مواد مختلفة(T),0
161,3,7,35,يحدد 5مواد خلال عشر ثواني بالتمييز البصري (T),0
162,3,7,35,يظهر 6 حركات جسدية مختلفة عند الطلب بدون دافع بصري(T),1
163,3,7,35,يحتفظ بمهارة المستمع المكتسبة لما بعد 24 ساعة بدون تدريب (T),0
164,3,7,35,يصدر بشكل عفوي استجابة المستمع(تمييز المستمع)بدون دوافع لمرتين (O),0
165,3,7,35,"يعمم تسميات مستمع معروفة خلال 3 أشخاص معروفين , 3 أماكن وثلاثة أوقات من النهار(T)",0
166,3,8,36,يختار المادة الصحيحة من مجموعة غير مرتبة تتكون من 5 مواد وذلك ل25 مادة مختلفة (T),1
167,3,8,36,يكتسب مهارة مستمع جديدة في أقل من 25 محاولة تدريبية (T),0
168,3,8,36,"يميز بين 6 أشخاص, حيوانات أليفة أو شخصيات بالاسم (T)",0
169,3,8,36,يعمم في مهمة المستمع خلال 3 أمثلة ل25 مادة مختلفة (T),1
170,3,8,37,يذهب ل3 أشخاص محددين عندما يُطلب منه ذلك (T),0
171,3,8,37,يؤشر إلى مادة مسماة في كتب وذلك ل5 مواد (T),0
172,3,8,37,يختار خمس مواد من البيئة الطبيعية عندما يطلب منه ذلك (E),0
173,3,8,37,يظهر بشكل عفوي خمس مهارات مستمع في البيئة الطبيعية (O),0
174,3,8,38,يذهب إلى 3 أماكن محددة عندما يطلب منه ذلك (T),0
175,3,8,38,يختار المادة الصحيحة من مجموعة تتكون من 8 مواد تشمل مثيران متشابهان وذلك ل20 مادة (T),1
176,3,8,38,يختار الشيء عندما يعطى صوته وذلك ل5 أشياء (T),0
177,3,8,38,يختار مادتين من مجموعة تتكون من 8 مواد وذلك ل5 مجموعات من المواد (T),0
178,3,8,39,يكتسب استجابتين للمستمع جديدتين بدون تدريب رسمي (O),0
179,3,8,39,يستجيب بشكل ملائم ل5 إشارات بلغة الجسد (E),0
180,3,8,39,يظهر 3 حركات محددة لثلاث أشخاص مختلفين (T),0
181,3,8,39,"يختار مادتين مستهدفتين من مشهد, كتاب أو من البيئة الطبيعية ل20 مجموعة من المواد (T)",0
182,3,8,40,يطبق حركتين متتاليتين وذلك ل10 مجموعات من الحركات (T),0
183,3,8,40,يميز بين لونين في مجموعة تتكون من أشياء لها 4 ألوان مختلفة (T),1
184,3,8,40,يميز بين شكلين في مجموعة تشمل 4 أشكال مختلفة (T),1
185,3,8,40,يعمم مهمة مستمع اسم-فعل لمادة جديدة وذلك ل5 إجراءات مختلفة (T),0
186,3,8,40,يعمم مهمة مستمع اسم-فعل لإجراء جديد وذلك ل5 أشياء (T),0
187,3,9,41,يضع 5 مواد محددة في مكانها الصحيح (T),0
188,3,9,41,يميز بين 4 ألوان في مجموعة تتكون من مواد لها 4 ألوان مختلفة (T),1
189,3,9,41,يميز بين 4 أشكال في مجموعة تحتوي مواد لها 4 أشكال مختلفة (T),1
190,3,9,41,يميز بين ظرفي مكان مختلفين (T),1
191,3,9,41,يميز بين نفسه والآخرين في الضمائر (T),1
192,3,9,41,يختار لونين مختلفين أو شكلين من مجموعة تتكون من 8 وذلك ل10 أزواج (T),1
193,3,9,42,يتبع التعليمات ليصل إلى المادة وذلك ل5 أماكن (T),0
194,3,9,42,يذهب إلى 5 أماكن مختلفة ويستعيد مواد محددة (T),0
195,3,9,42,يختار مواد من مجموعة من المثيرات المتشابهة اعتمادا على الصفة (T),1
196,3,9,42,يميز بين جنسي الولد والبنت والرجل والمرأة (T),0
197,3,9,42,يميز بين الذكر والأنثى في الضمائر (T),0
198,3,9,42,"يظهر حركات حسب حالين مختلفين (امش سريعًا, امش بطيئًا) (T)",1
199,3,9,43,يظهر تظاهرًا ل3 عواطف حسب الطلب (T),0
200,3,9,43,"يحدد تمييز المستمع ل10 مواد اعتمادا على الفاعل, الصفة والاسم (T)",1
201,3,9,43,"يطبق 10 حركات بالاعتماد على الفاعل, ظرف المكان والاسم (T)",1
202,3,9,43,"يحدد تمييز المستمع لعشر مواد اعتمادا على فعل, ضمير واسم (T)",1
203,3,9,43,يعمم الضمائر وظرف المكان لأوضاع جديدة (T),0
204,3,9,44,"يطبق 10 حركات اعتمادا على فاعل, فعل وحال (أرني الضفدع الذي يقفز عاليًا) (T)",1
205,3,9,44,"يطبق 10 حركات اعتمادا على الفاعل, الصفة والفعل (أرني الدب يرقص) (T)",1
206,3,9,44,يميز بين 6 شخصيات تقدم المساعدة في المجتمع حسب الفئة (T),0
207,3,9,44,يستجيب بشكل صحيح ل10 مهام تشمل واحد مقابل اثنان مقابل الكل (T),0
208,3,9,45,يميز بين المواد بعد إعطائه كلمات نفي ل10 مهام (T),0
209,3,9,45,يميز 5 خصائص لأقرانه في مجموعة صغيرة (T),0
210,3,9,45,يستجيب بشكل صحيح ل10 مهام فيها المفرد مقابل الجمع (T),0
211,3,9,45,يعمم 5 صفات لأسماء جديدة (T),0
212,3,9,45,يعمم 5 أحوال لأفعال جديدة (T),0
213,4,10,46,ينتبه بصريا للوجوه والأشخاص 5 مرات(O),0
214,4,10,46,ينتبه بصريا للمواد المعززة 5 مرات (O),0
215,4,10,47,يصل إلى المواد ويمسك بها بنجاح خمس مرات (E),1
216,4,10,47,يستخدم السبابة لنكز الأشياء أو لاستخدامات أخرى خمس مرات(O),0
217,4,10,47,يلعب يالالعاب والأشياء بشكل متنوع لعشر دقائق خمس مرات (O),0
218,4,10,48,ينقل الأشياء من يد لآخري خمس مرات (O),0
219,4,10,48,يبحث عن شئ ابتعد عن نظره خمس مرات(O),0
220,4,10,49,يلقي الأشياء بعيدا عن صندوق الألعاب أو يدفع المواد خارج الخزائن خمس مرات(O),0
221,4,10,49,يدفع و/أو يسحب الأشياء خمس مرات (O),0
222,4,10,50,ينتبه بصريا للألعاب أو الكتب لمدة دقيقة مرتين(O),0
223,4,10,50,يستخدم الملعقة بنجاح خمس مرات خلال الوجبة (O),0
224,4,10,50,يكمل 3 قطع في مجموعة أحجية بدون دافع مادي (E),0
225,4,10,50,يحاول أن يخربش بأي أدوات كتابة (O),0
226,4,10,50,يضع مادتين متطابقتين معا مرتين (O),1
227,4,11,51,يجمع مادتين أو لعبتين معًا (O),0
228,4,11,51,يرتب المواد المتطابقة في مجموعة مرتين (O),0
229,4,11,51,يقلب صفحتين في كتاب (E),0
230,4,11,51,يكمل ثلاث احجيات تركيب مختلفة تتكون من 3 إلى 4 قطع بدون دافع (E),0
231,4,11,51,يجمع 4 مكعبات معًا بدون مساعدة (O),0
232,4,11,51,يطابق مواد متطابقة أو صور في مجموعة تتكون من 3 مواد وذلك لعشر مواد مختلفة (T),1
233,4,11,51,يطابق مواد متطابقة أو صور مختلفة بالحجم في مجموعة غير مرتبة تتكون من 6 مواد وذلك لعشر مواد مختلفة (T),1
234,4,11,51,يضع 5 مواد في مكانها الصحيح (E),0
235,4,11,52,يكمل 5 احجيات تركيب مختلفة تشمل 6 قطع أو أكثر بدون دوافع (E),0
236,4,11,52,يطابق مواد أو صور متطابقة في مجموعة غير مرتبة تتكون من 8 مواد وذلك ل25 مادة مختلفة (T),1
237,4,11,52,يطابق صور متطابقة لها خلفيات مختلفة في مجموعة غير مرتبة تتكون من 8 ل25 صورة (T),1
238,4,11,52,يطابق صور متطابقة من البعد الثنائي إلى البعد الثلاثي أو العكس في مجموعة غير مرتبة تتكون من 8 مواد وذلك لعشرة أزواج (T),1
239,4,11,52,يطابق بشكل عفوي مادتين معًا في اللعب أو أي أوضاع أخرى (O),0
240,4,11,52,يكمل مطابقة مواد في مجموعة تتكون من 8 مواد وذلك ل10 مطابقات في أقل من 20 ثانية (T),0
241,4,11,53,يعمم على 5 مهام مطابقة بدون تدريب رسمي (E),0
242,4,11,53,يطابق مواد أو صور متطابقة لمثيلاتها في الكتاب وذلك ل25 مادة (T),1
243,4,11,53,يطابق مواد أو صور متطابقة لمثيلاتها في البيئة الطبيعية وذلك ل25 مادة (T),0
244,4,11,53,يختار 3 مواد غير متطابقة لكنها مرتبطة ببعضها من صندوق وذلك ل3 أنشطة لعب (T),0
245,4,11,53,يجمع بنجاح 5 أجزاء لخمس ألعاب تتكون من أجزاء (T),0
246,4,11,54,يطابق مواد متشابهة لكنها مختلفة اللون أو صور في مجموعة غير مرتبة تتكون من 8 مواد وذلك ل25 مادة (T),1
247,4,11,54,يطابق صور أو مواد غير متطابقة في مجموعة غير مرتبة تتكون من 8 مواد تشمل مثيرين متشابهين وذلك ل 25 مادة (T),1
248,4,11,54,يطابق مواد أو صور غير متطابقة لمثيلاتها في كتاب وذلك ل25 مادة (T),1
249,4,11,54,يطابق مواد أو صور غير متطابقة لمثيلاتها في البيئة الطبيعية وذلك ل25 مادة (T),1
250,4,11,54,يظهر مطابقة وظيفية عفوية مع العينة في البيئة الطبيعية مرتين (T),0
251,4,11,55,"يركب, يجمع أو يقسم مجموعات خمس ألعاب مختلفة, شخصيات أو مواد تنسجم معًا (T)",0
