المجال الرئيسي,المجال الفرعي,الهدف طويل المدى,المستوى,بند القياس,الهدف,تحليل المهارة,الاختصاص,الجنس,عمر البداية,عمر النهاية,المعيار
,6,هل يشارك الطفل عفويا في أنشطة مع أطفال آخرين ويتفاعل معهم لفظيا بشكل عفوي ؟,2,,,"ينشئ الطفل تفاعلا بدنيا مع اقرأنه مرتين ( دوران جماعي مع إمساك بالأيدي) (TO:30min)|يطلب الطفل من أقرانه 5 مرات (دوري في اللعب, ادفعني , انظر, تعال إلى هنا ) (TO:60min)|يشارك الطفل في اللعب التفاعلي المستدام مع أقرانه لمدة 3 دقائق بدون أي دافع أو تعزيز من الكبار( يتعاون مع أقرانه في ترتيب مجموعات اللعب , الألعاب المائية الجماعية) (TO:30min)|ستجيب عفويا لطلبات أقرانه 5 مرات (ادفعني على المرجوحة, أعطني القطار) (E)|الطفل يطلب عفويا من أقرانه أن يشاركوا في العاب ولعب تفاعلي مرتين (تعال هنا,هيا نحفر حفرة) (TO:60min)",,,,,
,6,هل يشترك الطفل عفويا في لعب و تفاعل لفظي متبادل مع الأقران؟,3,,,"يتعاون عفويًا مع أقرانه للحصول على نتيجة محددة 5 مرات (أحد الأطفال يحمل دلوًا بينما الآخر يصب به الماء). (E).|يطلب بشكل عفوي من أقرانه بأسئلة (من, ماذا, أين,... الخ) 5 مرات. (أين تذهب؟ ما هذا؟ من أنت؟). (TO:60 min).|يستجيب بالمحادثة لخمسة أسئلة أو جمل من الأقران (يستجيب لفظيًا عند سؤاله ""ماذا تريد أن تلعب؟""). (E).|يشارك الطفل في أنشطة التظاهر باللعب مع أقرانه لمدة خمس دقائق بدون أي دافع من البالغين (يلبس الألعاب, يمثل مقاطع فيديو, يلعب لعبة المنزل). (O).|يشارك الطفل في 4 تبادل لفظي حول موضوع واحد مع أقرانه وذلك لخمسة مواضيع. (الأطفال يمشون ذهابًا وإيابًا يتحدثون حول صنع قلعة في صندوق الرمل). (O).",,,,,
,7,هل يقلد الطفل حركات الآخرين ؟,1,,,"يقلد حركتين واضحتين  عندما يتم حثه لفعل ذلك (مثل التصفيق ورفع الذراعين) (T )|يقلد 4 حركات واضحة عندما يتم حثه لفعل ذلك,""افعل ذلك"" (T )|يقلد 8 حركات , اثنتين منها تشمل أشياء ( يهز آلة موسيقية تصدر صوت, طرق العصي ببعض) (T )|يقلد الطفل سلوكيات حركية للآخرين في خمس مناسبات(O )|يقلد الطفل 20 حركة من أي نوع ( حركات دقيقة, حركات كبيرة, تقليد باستخدام الأشياء) (T )",,,,,
,7,هل يقلد الطفل حركات الآخرين؟,2,,,"يقلد الطفل عشر إجراءات تتطلب اختيار شئ محدد من ضمن مجموعة(اختيار عصا الطبل من مجموعة تحتوي مزمار وجرس ومن ثم تقليد حركة التطبيل بالعصا) (T)|يقلد الطفل 20 حركة دقيقة مختلفة عندما يتم دفعه وحثه من خلال ""افعل ذلك"" .(يثني أصابعه, يجمع كفه بقبضه ,يثني ذراعيه مثل الفراشة) (T)|يقلد الطفل 10 إجراءات تتكون من ثلاث خطوات, عندما يتم حثه ب""افعل ذلك""(صفق, اقفز ثم المس إصبع قدمك أو التقط لعبة,ضعها في السلة ثم هز السلة) (T)|يقلد الطفل عفويا مهارات وظيفية في البيئة الطبيعية( يأكل بالملعقة, يلبس الجاكيت ,يخلع حذاؤه) (O)|يقلد الطفل ( أو يحاول بشكل مقارب) أي نموذج حركي جديد يطبقه الكبار أمام الطفل , مع او بدون مواد مصاحبة.(يعمم ذخيرة التقليد) (T)",,,,,
,8,هل يكرر الطفل مباشرة الأصوات ( مقاطع متحركة أو ساكنة ) بشكل مفرد أو مركب؟,1,,,"يسجل درجة 2 على الأقل في اختبار المصادأة (T)|يسجل درجة 5 على الأقل في اختبار المصادأة (T)|
يسجل الطفل درجة 10 في الاختبار (T)|يسجل الطفل 15 درجة في الاختبار (T)|يسجل الطفل 25 درجة على الأقل في الاختبار( 20 منها على الأقل من المجموعة 1 ) (T)",,,,,
,8,هل يكرر الطفل فورا كلمات محددة أو مقاطع؟,2,,,سجل الطفل 50 نقطة على الأقل في اختبار المصادأة ( على الأقل 20 نقطة من المجموعة الثانية) (T)|يسجل الطفل على الأقل 60 نقطة في اختبار المصادأة (T)|يسجل الطفل 70 نقطة على الأقل في اختبار المصادأة (T)|يسجل الطفل 80 نقطة على الأقل في اختبار المصادأة (T)|يسجل الطفل 90 نقطة على الأقل في اختبار المصادأة (10 منها على الأقل من المجموعة الرابعة والخامسة)(T),,,,,
,9,كم مرة يصدر الطفل اصواتا عفوية وما طبيعة هذه الأصوات ؟,1,,,"يصدر الطفل عفويا 5 أصوات كل ساعة(TO:60min )|يصدر الطفل عفويا 5 أصوات مختلفة , بمعدل مجموع 10 أصوات كل ساعة (TO:60min )|يصدر الطفل عفويا 10 أصوات مختلفة ,بنغمات مختلفة وبمعدل 25 صوت إجمالي كل ساعة (TO:60min )|يصدر الطفل عفويا 5 كلمات كاملة بشكل قريب(O)|يصدر الطفل عفويا 15 كلمة كاملة أو مقطع مع تنغيم وإيقاع (TO:60min )",,,,,
,10,"هل يفهم الطالب كمستمع الكلمات التي تصف الأسماء والأفعال حسب الوظيفة, الخصائص و الفئة؟",2,,,"يختار الطفل 5 أنواع مختلفة من الطعام أو الشراب, عند عرض مجموعة مكونة من 5 مواد ( أربعة منها ليست طعام أو شراب) , ويتم سؤال الطفل شفهيا : أنت تأكل......., وأنت تشرب........(T)|يختار الطفل المادة الصحيحة من ضمن مجموعة تتكون من 8 مواد وذلك ل 25 جملة LRFFC من أي نوع (أنت تجلس على.....).(T)|يختار الطفل المادة الصحيحة من ضمن مجموعة تتكون من 10 مواد (أو من كتاب) ل 25 سؤالLRFFC  (سؤال WHO ).(ماذا تركب؟ ما هو الشئ الذي بنبح؟ من يستطيع أن يرقص؟).(T)|يختار الطفل مادة عن طريق إعطائه ثلاثة جمل لفظية مختلفة عن كل مادة تقدم له بشكل مستقل( جد الحيوان, ما هو الحيوان الذي ينبح؟ ما هو الحيوان الذي له براثن؟) وذلك ل 25 مادة.(T)|يسمي الطفل عفويا 50% من محاولات LRFFC .(O)",,,,,
,10,"هل يفهم الطفل كمستمع كلمات متعددة توصف أسماء وأفعال حسب وظيفتها , خصائصها و فئتها؟",3,,,"يختار الطفل المادة الصحيحة من ضمن مجموعة تتكون من 10 مواد لها ثلاث مثيرات متشابهة (نفس اللون, الشكل, النوع ولكنها تمثل الخيارات الخاطئة)  وذلك ل 25 سؤال (من, ماذا...الخ) من مهام LRFFC. (T).|يختار الطفل مواد من كتاب اعتمادا على اثنين من المكونات اللفظية: إما الخصائص (مثل اللون) أو وظائف (للرسم) أو الفئة (ملابس) ل 25 مهمة LRFFC. (هل ترى حيوان بني اللون؟ هل تستطيع إيجاد ملابس لها أزرار؟). (T).|يختار الطفل مواد من صفحة في كتاب أو من البيئة الطبيعية اعتمادا على ثلاثة مكونات لفظية (فعل, صفة, ضمائر, حروف جر) لخمس وعشرين مهمة LRFFC على شكل سؤال (من, ماذا, أين...الخ). (T).|يختار الطفل المواد الصحيحة من كتاب أو من البيئة الطبيعية بعد إعطائه أربعة أسئلة LRFFC متتابعة حول موضوع واحد( أين تعيش البقرة؟ ماذا تأكل البقرة؟من يحلب البقرة؟)وذلك لخمس وعشرين موضوع مختلف(T)|يعرض الطفل 100 استجابة LRFFC مختلفة (في الاختبار أو من قوائم تجميعية للاستجابات المعروفة). (T)",,,,,
,11,هل يستجيب الطفل لفظيا لمحتوى كلمات الآخرين؟,2,,,"يكمل الطفل 10 عبارات أملئ الفراغ مختلفة من أي نوع ( أكمل الأغاني, العاب تفاعلية لتكملة الجملة, أصوات الحيوانات).(T)|يذكر الطفل اسمه الأول عندما يُسأل عنه|يكمل الطفل 25 عبارة أملئ الفراغ مختلفة ( لا تشمل الأغاني).(أنت تأكل....., أنت تنام في.....).(T)|يجيب الطفل 25 سؤال مختلف يبدأ بماذا (ماذا تحب أن تأكل؟).(T)|يجيب الطفل 25 سؤال مختلف يبدأ بمن أو أين ( من هو صديقك؟ أين لعبتك؟).(T)",,,,,
,11, هل يستجيب الطفل لفظيا لمحتوى كلمات الآخرين؟,3,,,"يصدر الطفل بشكل عفوي 20 تعليق أثناء المحادثة (ممكن أن يكون طلب) (يقول الأب: أنا ذاهب للسيارة. يقول الطفل بشكل عفوي أنا أريد أن أذهب في نزهة). (O).|يظهر الطفل بوضوح 300 استجابة محادثة مختلفة (بالاختبار أو من خلال قائمة تجميعية معروفة للمحادثة). (T).|يجيب الطفل سؤالين بعد قراءة فقرات قصيرة (أكثر من 15 كلمة) من كتاب وذلك لخمس وعشرين فقرة (من فجّر المنزل؟). (T).|يصف الطفل 25 حدث, فيديو, قصة ...الخ ,بثمانية كلمات وأكثر (أخبرني ماذا حدث... الوحش الكبير أخاف الجميع وهربوا من المنزل). (E).|يجيب الطفل أسئلة استفهامية متتابعة حول موضوع واحد. لعشرة مواضيع (ماذا تأخذ للمدرسة؟ من أين تذهب للمدرسة؟ من يأخذك للمدرسة؟). (T).",,,,,
,12, هل يلتزم الطفل بالروتين اليومي في الغرفة الصفية ويشارك في أنشطة المجموعة ويستجيب لتعليمات المدرس؟,2,,,"يجلس مع مجموعة حول طاولة الطعام بدون أي سلوكيات سلبية لثلاث دقائق. (O).|يترك أغراضه الشخصية ثم يصطف مع الأطفال ويأتي إلى الطاولة بدافع لفظي فقط. (O).|الانتقال بين أنشطة الغرفة الصفية بدافع لفظي لمرة واحدة فقط. (O).|يجلس في مجموعة صغيرة لمدة 5 دقائق بدون سلوك مضطرب أو محاولة ترك المجموعة. (O).|يجلس الطفل في مجموعة صغيرة لمدة 10 دقائق, ينتبه للمعلم أو المادة لأكثر من 50% من المدة, ويستجيب لخمسة من المثيرات اللفظية للمعلم. (O).",,,,,
,12,هل يلتزم الطفل بروتين الغرفة الصفية ويتعلم من خلال المجموعات؟,3,,,يستخدم الطفل المرحاض ويغسل يديه مع دافع لفظي واحد.(O).|يستجيب الطفل لخمسة مجموعات من التعليمات أو الأسئلة بدون أي دافع مباشر عند وجوده في مجموعة مكوّنة من ثلاث أطفال أو أكثر. (على الكل الوقوف. من يرتدي تيشيرتًا أحمر؟). (O)|يعمل الطفل بشكل مستقل لخمس دقائق في المجموعة ويبقى في المهمة لما نسبته 50% من الوقت. (O).|يكتب الطفل سلوكين جديدين خلال 15 دقيقة من التعليم الجماعي يشمل 5 أطفال أو أكثر. (T). |يجلس الطفل في حصة مدتها 20 دقيقة تشمل 5 أطفال بدون أي سلوك مزعج ويجيب 5 أسئلة محادثة. (T),,,,,
,13,هل أصبح لفظ الطفل أوضح؟ هل زادت لديه مفردات المستمع والمتحدث وبدأ يصدر مقاطع من 2-3 كلمات وجمل؟,2,,,"يلفظ الطفل 10 تسميات يفهمها الكبار من دون أن يروا هذه المواد التي تمت تسميتها. (O).|لدى الطفل ما مجموعه 100 كلمة من مفردات المستمع. (T).|يصدر الطفل كلام من كلمتين عشر مرات خلال اليوم من أي نوع باستثناء المصادأة. (O).|يصدر الطفل عروض وظيفي (مثل الإيقاع, التشديد, التنغيم) في خمس مناسبات خلال اليوم (يشدّد الطفل على كلمات محددة مثل ""إنّه لي""). (O).|لدى الطفل ما مجموعه 300 كلمة من مفردات المتحدث (كل الإجراءات اللفظية باستثناء المصادأة). (E).",,,,,
,13,"هل يصدر الطفل المزيد من التراكيب اللغوية المعقدة حسب القواعد اللغوية الصحيحة مثل استخدام الجمع , ضمائر الملكية , التشديد,تعديل الأسماء والأفعال؟",3,,,يصدر الطفل تصريف للأسماء بربط 10 مصادر أسماء بإضافات الجمع (كلب مقابل كلاب) و 10 مصادر أسماء مع إضافات المُلكية (أكل القطة مقابل أكل الكلب). (E)|يصدر الطفل تصريف بربط 10 مصادر أفعال بلواحق صيغة الفعل الماضي (لعب ، أكل ) و 10 مصادر أفعال بلواحق صيغة المستقبل (سيلعب). (E).|يصدر الطفل 10 مقاطع اسمية مختلفة تحتوي على الأقل ثلاث كلمات مع اثنين من الكلمات الإضافية المعدّلة (مثل الصفات،حروف الجر ، الضمائر) (أنا أريد آيس كريم بالشوكولاته). (E).|يصدر الطفل عشرة مقاطع فعلية مختلفة تشمل على الأقل ثلاث كلمات مع اثنين من المعدِّلات (أحوال،حروف جر،ضمائر) ، (ادفعني بقوة ، اذهب إلى أعلى الدرجات). (E).|يربط الطفل بين مقاطع اسمية وفعلية لإنتاج 10 جمل صحيحة نحويًّا تشمل على الأقل 5 كلمات (لعق الكلب وجهي). (E).,,,,,
,14,"هل يظهر الطفل اهتماما بالكلمات والكتب, التسمية وتمييز الحروف, القراءة وفهم مجموعة كلمات؟",3,,,"ينتبه الطفل للكتاب عند قراءة قصة له بنسبة 75% من الوقت.(TO:3 min).|يختار الطفل الحرف الكبير من مجموعة تتكون من 5 أحرف لعشرة أحرف مختلفة. (T).|يسمي الطفل 10 أحرف كبيرة حسب ما يطلب منه. (T).|يقرأ الطفل اسمه الخاص. (T).|يطابق الطفل 5 كلمات مع صور أو مواد في مجموعة مكونة من 5 أشياء والعكس صحيح (يطابق كلمة مكتوبة ""طائر"" مع صورة عصفور) (T) .",,,,,
,15,"هل يرسم الطفل, ينسخ الأحرف والأرقام, ويكتب اسمه بشكل مستقل؟",3,,,"يقلد الطفل 5 إجراءات كتابية مختلفة على غرار ما يكتبه شخص بالغ مستخدمًا أدوات كتابة وسطح كتابة.(T).|يتتبع الطفل بشكل مستقل (خلال 1/4 إنش من الخطوط) 5 أشكال هندسية (دائرة, مربع, مثلث, نجمة, ...الخ). (T).|ينسخ 10 حروف أو أرقام بشكل مقروء.|يهجئ بشكل واضح ويكتب اسمه بدون أي نسخ. (T).|ينسخ كل الحروف الأبجدية الكبيرة والصغيرة بشكل مقروء. (T).",,,,,
,16,"هل يعرض الطفل مهارات حسابية ابتدائية تشمل الأرقام, الكميات, العد والقياس؟ لاحظ أن المهارات الهندسية الابتدائية تقَيم في جزء أخر.",3,,,يحدد كمية الأرقام 1-5 في مجموعة مكوَّنة من خمسة أرقام مختلفة. (T)|يسمي الأرقام 1-5. (T)|يعد الطفل من 1-5 مواد من مجموعة أكبر من المواد (أعطيني أربع سيارات ، الآن أعطيني سيارتين).(T)|يحدد الطفل كمستمع 8 مقارنات مختلفة تشمل القياس (أكثر وأقل ، أكبر و أصغر ، طويل ، قصير ، ممتلئ  وفارغ). (T)|يطابق الطفل بشكل صحيح أرقام مكتوبة بصور تمثل كمية الرقم للأرقام 1-5 (يطابق الرقم 3 بصورة فيها ثلاث شاحنات). (T).,,,,,